_id,year,examType,name,region,council,ward,ownership,institutionType,confidenceLevel,comments,division_one_females,division_one_males,division_one_total,division_two_females,division_two_males,division_two_total,division_three_females,division_three_males,division_three_total,division_four_females,division_four_males,division_four_total,division_zero_females,division_zero_males,division_zero_total,posted_date
6846e012eb366ee3e425439c,2005,ACSEE,KASITA SEMINARY,Morogoro,Ulanga,Uponera,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,5,5,0,4,4,1,6,7,0,2,2,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e425439d,2005,ACSEE,KATOKE SEMINARY,Dar es Salaam,Ubungo MC,Kibamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,12,12,1,3,4,0,1,1,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e425439e,2005,ACSEE,KIBAHA,Pwani,Kibaha TC,Tumbi,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,92,92,0,21,21,0,15,15,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e425439f,2005,ACSEE,KIGONSERA,Ruvuma,Mbinga,Kigonsera,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,15,15,3,18,21,12,13,25,4,1,5,1,0,1,2005-07-14 00:00:00
6846e012eb366ee3e42543a0,2005,ACSEE,ST. JAMES SEMINARY,Kilimanjaro,Moshi,Kilema Kusini,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,12,12,0,2,2,0,2,2,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543a1,2005,ACSEE,KILIMANJARO,Morogoro,Mvomero,Sungaji,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,5,5,0,9,9,0,30,30,1,6,7,0,3,3,2005-07-14 00:00:00
6846e012eb366ee3e42543a2,2005,ACSEE,KWIRO,Morogoro,Ulanga,Vigoi,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,14,14,0,21,21,0,34,34,0,6,6,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543a3,2005,ACSEE,LIKONDE SEMINARY,Ruvuma,Mbinga,Mkako,Non-Government,School,94,"Confidence level is desired to be above 90%, anything below that is less reliable",0,1,1,0,7,7,0,3,3,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543a4,2005,ACSEE,LYAMUNGO,Kilimanjaro,Hai,Machame Mashariki,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,15,15,0,21,21,0,39,39,0,2,2,0,1,1,2005-07-14 00:00:00
6846e012eb366ee3e42543a5,2005,ACSEE,MAGAMBA,Katavi,Mpanda MC,Magamba,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,10,10,0,16,16,0,23,23,0,6,6,0,1,1,2005-07-14 00:00:00
6846e012eb366ee3e42543a6,2005,ACSEE,MAKOKO SEMINARY,Dar es Salaam,Ubungo MC,Kibamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543a7,2005,ACSEE,MALANGALI,Iringa,Mufindi,Malangali,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,72,72,0,39,39,0,12,12,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543a8,2005,ACSEE,MAUA SEMINARY,Kilimanjaro,Moshi,Kilema Kaskazini,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,9,9,0,10,10,0,0,0,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543a9,2005,ACSEE,MAZENGO,Kilimanjaro,Moshi MC,Majengo,Non-Government,School,86,"Confidence level is desired to be above 90%, anything below that is less reliable",0,26,26,0,41,41,0,131,131,0,35,35,0,8,8,2005-07-14 00:00:00
6846e012eb366ee3e42543aa,2005,ACSEE,MILAMBO,Tabora,Tabora MC,Chemchem,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,27,27,0,37,37,0,73,73,0,4,4,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543ab,2005,ACSEE,MINAKI,Pwani,Kisarawe,Kisarawe,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,35,35,0,62,62,0,89,89,0,9,9,0,2,2,2005-07-14 00:00:00
6846e012eb366ee3e42543ac,2005,ACSEE,MOSHI,Kilimanjaro,Moshi MC,Mfumuni,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,23,23,0,50,50,3,104,107,0,21,21,0,7,7,2005-07-14 00:00:00
6846e012eb366ee3e42543ad,2005,ACSEE,MOSHI TECHNICAL,Kilimanjaro,Moshi MC,Karanga,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,13,13,0,17,17,0,24,24,0,5,5,0,1,1,2005-07-14 00:00:00
6846e012eb366ee3e42543ae,2005,ACSEE,MUSOMA,Mara,Butiama,Nyankanga,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,22,22,0,42,42,0,33,33,0,9,9,0,3,3,2005-07-14 00:00:00
6846e012eb366ee3e42543af,2005,ACSEE,MKWAWA,Iringa,Iringa MC,Mkwawa,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",52,71,123,87,90,177,125,153,278,42,30,72,21,14,35,2005-07-14 00:00:00
6846e012eb366ee3e42543b0,2005,ACSEE,MPWAPWA,Dodoma,Mpwapwa,Mpwapwa Mjini,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",13,28,41,7,4,11,3,1,4,1,0,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543b1,2005,ACSEE,MZUMBE,Morogoro,Mvomero,Mzumbe,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,100,100,0,12,12,0,2,2,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543b2,2005,ACSEE,NAMUPA SEMINARY,Lindi,Mtama,Namupa,Non-Government,School,93,"Confidence level is desired to be above 90%, anything below that is less reliable",0,0,0,0,0,0,0,4,4,0,3,3,0,1,1,2005-07-14 00:00:00
6846e012eb366ee3e42543b3,2005,ACSEE,GALANOS,Tanga,Tanga CC,Nguvumali,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,15,15,0,43,43,0,53,53,0,8,8,0,1,1,2005-07-14 00:00:00
6846e012eb366ee3e42543b4,2005,ACSEE,NJOMBE,Njombe,Njombe TC,Mjimwema,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,1,1,2,12,14,15,30,45,1,3,4,1,2,3,2005-07-14 00:00:00
6846e012eb366ee3e42543b5,2005,ACSEE,NSUMBA,Mwanza,Mwanza CC,Luchelele,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,7,7,0,27,27,0,13,13,0,0,0,0,1,1,2005-07-14 00:00:00
6846e012eb366ee3e42543b6,2005,ACSEE,NYEGEZI SEMINARY,Mwanza,Mwanza CC,Luchelele,Non-Government,School,94,"Confidence level is desired to be above 90%, anything below that is less reliable",0,9,9,0,9,9,0,11,11,0,1,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543b7,2005,ACSEE,PUGU,Dar es Salaam,Dar es Salaam CC,Pugu,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,45,45,0,63,63,0,142,142,0,12,12,0,6,6,2005-07-14 00:00:00
6846e012eb366ee3e42543b8,2005,ACSEE,RUBYA SEMINARY,Dar es Salaam,Ubungo MC,Kibamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543b9,2005,ACSEE,SAME,Kilimanjaro,Same,Stesheni,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,6,6,0,5,5,0,30,30,0,6,6,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543ba,2005,ACSEE,SENGEREMA,Mwanza,Sengerema,Mwabaluhi,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,7,7,0,18,18,0,52,52,0,15,15,0,5,5,2005-07-14 00:00:00
6846e012eb366ee3e42543bb,2005,ACSEE,SHINYANGA,Shinyanga,Kishapu,Mwadui Lohumbo,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,8,8,0,38,38,0,48,48,0,2,2,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543bc,2005,ACSEE,SONGEA BOYS,Ruvuma,Songea MC,Seedfarm,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,27,27,0,43,43,0,65,65,0,14,14,0,5,5,2005-07-14 00:00:00
6846e012eb366ee3e42543bd,2005,ACSEE,ST. PETER'S SEMINA,Dar es Salaam,Ubungo MC,Kibamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,3,3,0,6,6,0,1,1,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543be,2005,ACSEE,TABORA BOYS,Tabora,Tabora MC,Kitete,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,35,35,0,16,16,0,13,13,0,1,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543bf,2005,ACSEE,TANGA,Lindi,Kilwa,Masoko,Government,School,91,"Confidence level is desired to be above 90%, anything below that is less reliable",0,10,10,0,12,12,0,53,53,0,6,6,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543c0,2005,ACSEE,TOSAMAGANGA,Iringa,Iringa,Kalenga,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,22,22,0,83,83,0,130,130,0,22,22,0,1,1,2005-07-14 00:00:00
6846e012eb366ee3e42543c1,2005,ACSEE,UMBWE,Kilimanjaro,Moshi,Kibosho Magharibi,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,57,57,0,49,49,0,31,31,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543c2,2005,ACSEE,MUSLIM COLLEGE,Kagera,Missenyi,Kanyigo,Non-Government,School,86,"Confidence level is desired to be above 90%, anything below that is less reliable",3,2,5,5,6,11,36,19,55,23,9,32,2,1,3,2005-07-14 00:00:00
6846e012eb366ee3e42543c3,2005,ACSEE,USA SEMINARY,Arusha,Meru,Usariver,Non-Government,School,92,"Confidence level is desired to be above 90%, anything below that is less reliable",0,13,13,0,6,6,0,2,2,0,1,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543c4,2005,ACSEE,URU SEMINARY,Kilimanjaro,Moshi,Uru Kusini,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,9,9,0,1,1,0,0,0,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543c5,2005,ACSEE,KIDUGALA LUTHERAN,Njombe,Wanging'ombe,Kidugala,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",8,20,28,6,1,7,3,16,19,1,2,3,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543c6,2005,ACSEE,SANU SEMINARY,Manyara,Mbulu TC,Endagikot,Non-Government,School,92,"Confidence level is desired to be above 90%, anything below that is less reliable",0,14,14,0,11,11,0,7,7,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543c7,2005,ACSEE,CONSOLATA SEMINARY,Iringa,Mafinga TC,Changarawe,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,6,6,0,2,2,0,1,1,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543c8,2005,ACSEE,SALESIAN SEMINARY,Dodoma,Dodoma CC,Miyuji,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",3,4,7,0,14,14,7,11,18,1,4,5,0,6,6,2005-07-14 00:00:00
6846e012eb366ee3e42543c9,2005,ACSEE,LUSANGI MORAVIAN J,Tabora,Sikonge,Misheni,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,4,4,1,8,9,0,2,2,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543ca,2005,ACSEE,MANOW LUTHERAN JUN,Kilimanjaro,Moshi,Mamba Kusini,Non-Government,School,86,"Confidence level is desired to be above 90%, anything below that is less reliable",2,3,5,0,3,3,3,6,9,0,3,3,1,0,1,2005-07-14 00:00:00
6846e012eb366ee3e42543cb,2005,ACSEE,ST. MARY'S SEMINAR,Dar es Salaam,Ubungo MC,Kibamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,2,2,0,7,7,0,2,2,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543cc,2005,ACSEE,ST. FRANCIS DESALE,Arusha,Ngorongoro,Sale,Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,24,24,0,20,20,0,4,4,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543cd,2005,ACSEE,KISARAWE LUTHERAN,Pwani,Kisarawe,Kazimzumbwi,Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",1,6,7,5,5,10,10,7,17,2,9,11,1,4,5,2005-07-14 00:00:00
6846e012eb366ee3e42543ce,2005,ACSEE,AL-FAROUQ SEMINARY,Dar es Salaam,Ubungo MC,Kibamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,1,1,0,7,7,0,13,13,0,4,4,0,4,4,2005-07-14 00:00:00
6846e012eb366ee3e42543cf,2005,ACSEE,AGAPE LUTHERAN J S,Dar es Salaam,Ubungo MC,Mbezi,Non-Government,School,86,"Confidence level is desired to be above 90%, anything below that is less reliable",3,5,8,4,14,18,5,7,12,0,1,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543d0,2005,ACSEE,ST. JOSEPH-KILOCHA,Njombe,Njombe TC,Ihanga,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,7,7,0,5,5,0,3,3,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543d1,2005,ACSEE,ASHIRA,Kilimanjaro,Moshi,Marangu Mashariki,Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",22,0,22,14,0,14,13,0,13,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543d2,2005,ACSEE,BWIRU GIRLS,Mwanza,Ilemela MC,Pasiansi,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",4,0,4,17,0,17,18,0,18,5,0,5,1,0,1,2005-07-14 00:00:00
6846e012eb366ee3e42543d3,2005,ACSEE,IRINGA,Iringa,Iringa MC,Gangilonga,Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",14,0,14,64,0,64,32,0,32,1,0,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543d4,2005,ACSEE,JANGWANI,Dar es Salaam,Dar es Salaam CC,Upanga Magharibi,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",3,0,3,36,0,36,56,0,56,4,0,4,1,0,1,2005-07-14 00:00:00
6846e012eb366ee3e42543d5,2005,ACSEE,KIBOSHO GIRLS,Kilimanjaro,Moshi,Kibosho Mashariki,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",36,0,36,21,0,21,4,0,4,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543d6,2005,ACSEE,KILAKALA,Morogoro,Morogoro MC,Kilakala,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",42,0,42,48,0,48,20,0,20,1,0,1,1,0,1,2005-07-14 00:00:00
6846e012eb366ee3e42543d7,2005,ACSEE,KIRAENI,Kilimanjaro,Rombo,Kirwa Keni,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",18,0,18,18,0,18,7,0,7,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543d8,2005,ACSEE,KOROGWE,Rukwa,Nkasi,Korongwe,Government,School,93,"Confidence level is desired to be above 90%, anything below that is less reliable",56,0,56,19,0,19,28,0,28,1,0,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543d9,2005,ACSEE,BIGWA SISTERS,Dodoma,Dodoma CC,Kikombo,Non-Government,School,86,"Confidence level is desired to be above 90%, anything below that is less reliable",9,0,9,14,0,14,5,0,5,1,0,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543da,2005,ACSEE,LOLEZA,Mbeya,Mbeya CC,Ghana,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",26,0,26,41,0,41,44,0,44,6,0,6,2,0,2,2005-07-14 00:00:00
6846e012eb366ee3e42543db,2005,ACSEE,MACHAME,Kilimanjaro,Hai,Machame Kaskazini,Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",24,0,24,20,0,20,23,0,23,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543dc,2005,ACSEE,MSALATO,Dodoma,Dodoma CC,Msalato,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",38,0,38,22,0,22,23,0,23,1,0,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543dd,2005,ACSEE,MTWARA GIRLS,Mtwara,Mtwara Mikindani MC,Mtawanya,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",12,0,12,19,0,19,7,0,7,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543de,2005,ACSEE,NGANZA,Mwanza,Mwanza CC,Mkolani,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",13,0,13,33,0,33,57,0,57,14,0,14,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543df,2005,ACSEE,PERAMIHO,Pwani,Chalinze,Pera,Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",5,0,5,9,0,9,3,0,3,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543e0,2005,ACSEE,RUGAMBWA,Kagera,Bukoba MC,Kitendaguro,Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",1,0,1,8,0,8,16,0,16,2,0,2,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543e1,2005,ACSEE,SONGEA GIRLS,Ruvuma,Songea MC,Mjini,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",9,0,9,13,0,13,5,0,5,1,0,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543e2,2005,ACSEE,TABORA GIRLS,Tabora,Tabora MC,Ng'ambo,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",4,0,4,20,0,20,11,0,11,3,0,3,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543e3,2005,ACSEE,WERUWERU,Kilimanjaro,Moshi,Kindi,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",12,0,12,37,0,37,37,0,37,4,0,4,1,0,1,2005-07-14 00:00:00
6846e012eb366ee3e42543e4,2005,ACSEE,ZANAKI,Dar es Salaam,Dar es Salaam CC,Upanga Mashariki,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",15,0,15,32,0,32,27,0,27,3,0,3,1,0,1,2005-07-14 00:00:00
6846e012eb366ee3e42543e5,2005,ACSEE,MASAMA,Kilimanjaro,Hai,Masama Mashariki,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543e6,2005,ACSEE,KIFUNGILO,Tanga,Lushoto,Gare,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",17,0,17,6,0,6,3,0,3,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543e7,2005,ACSEE,MASWA,Simiyu,Maswa,Sukuma,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,0,0,1,0,1,7,0,7,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543e8,2005,ACSEE,KIBONDO,Kigoma,Kibondo,Biturana,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",16,0,16,23,0,23,6,0,6,3,0,3,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543e9,2005,ACSEE,ST. MARY'S MAZINDE,Tanga,Lushoto,Magamba,Non-Government,School,95,"Confidence level is desired to be above 90%, anything below that is less reliable",31,0,31,21,0,21,15,0,15,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543ea,2005,ACSEE,KOWAK GIRLS',Mara,Rorya,Nyathorogo,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",7,0,7,16,0,16,12,0,12,1,0,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543eb,2005,ACSEE,PALLOTI GIRLS,Singida,Ikungi,Siuyu,Non-Government,School,96,"Confidence level is desired to be above 90%, anything below that is less reliable",10,0,10,7,0,7,6,0,6,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543ec,2005,ACSEE,MAASAE GIRLS LUTHE,Arusha,Monduli,Engutoto,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",2,0,2,1,0,1,7,0,7,2,0,2,2,0,2,2005-07-14 00:00:00
6846e012eb366ee3e42543ed,2005,ACSEE,MABAMBA GIRLS,Kigoma,Kibondo,Mabamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",3,0,3,5,0,5,8,0,8,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543ee,2005,ACSEE,MARIAN GIRLS,Pwani,Bagamoyo,Kisutu,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",40,0,40,10,0,10,0,0,0,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543ef,2005,ACSEE,WALI-UL-ASR SEMINA,Dar es Salaam,Ubungo MC,Kibamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",2,0,2,6,0,6,2,0,2,2,0,2,3,0,3,2005-07-14 00:00:00
6846e012eb366ee3e42543f0,2005,ACSEE,ST. CHRISTINA GIRL,Tanga,Tanga CC,Nguvumali,Non-Government,School,97,"Confidence level is desired to be above 90%, anything below that is less reliable",2,0,2,12,0,12,9,0,9,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543f1,2005,ACSEE,CORNELIUS GIRLS,Dar es Salaam,Kinondoni MC,Wazo,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",1,0,1,10,0,10,20,0,20,8,0,8,3,0,3,2005-07-14 00:00:00
6846e012eb366ee3e42543f2,2005,ACSEE,ARUSHA,Arusha,Arusha CC,Kati,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",22,11,33,35,11,46,20,11,31,3,1,4,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543f3,2005,ACSEE,ARUSHA-MERU,Arusha,Arusha CC,Levolosi,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",1,8,9,7,13,20,24,46,70,8,16,24,1,13,14,2005-07-14 00:00:00
6846e012eb366ee3e42543f4,2005,ACSEE,BUKOBA,Kagera,Bukoba MC,Miembeni,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543f5,2005,ACSEE,BULUBA,Shinyanga,Shinyanga MC,Mjini,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",4,3,7,3,15,18,3,14,17,0,1,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543f6,2005,ACSEE,DODOMA,Dodoma,Dodoma CC,Makole,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",2,3,5,6,4,10,4,2,6,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e42543f7,2005,ACSEE,DODOMA CENTRAL,Dodoma,Dodoma CC,Uhuru,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,0,0,0,4,4,3,19,22,2,14,16,2,8,10,2005-07-14 00:00:00
6846e012eb366ee3e42543f8,2005,ACSEE,ENABOISHU,Arusha,Arusha,Moivo,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",1,3,4,5,8,13,4,10,14,2,2,4,0,1,1,2005-07-14 00:00:00
6846e012eb366ee3e42543f9,2005,ACSEE,FIDEL CASTRO,Arusha,Meru,Mbuguni,Non-Government,School,68,"Confidence level is desired to be above 90%, anything below that is less reliable",1,5,6,4,8,12,13,28,41,6,3,9,2,2,4,2005-07-14 00:00:00
